row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
0,TOI-4010 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0000_TOI-4010_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0000_TOI-4010_b.npz,
1,KOI-1257 b,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0001_KOI-1257_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0001_KOI-1257_b.npz,
2,KELT-1 b,0,129,6,results/multi_system/_chunks_tierb/chunk_00/status_row0002_KELT-1_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0002_KELT-1_b.npz,
3,WASP-139 b,22,110,3,results/multi_system/_chunks_tierb/chunk_00/status_row0003_WASP-139_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0003_WASP-139_b.npz,
4,TOI-700 e,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0004_TOI-700_e.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0004_TOI-700_e.npz,
5,WASP-65 b,0,129,6,results/multi_system/_chunks_tierb/chunk_00/status_row0005_WASP-65_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0005_WASP-65_b.npz,
6,WASP-75 b,72,55,8,results/multi_system/_chunks_tierb/chunk_00/status_row0006_WASP-75_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0006_WASP-75_b.npz,
7,TOI-4552 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0007_TOI-4552_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0007_TOI-4552_b.npz,
8,TOI-4127 b,0,131,4,results/multi_system/_chunks_tierb/chunk_00/status_row0008_TOI-4127_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0008_TOI-4127_b.npz,
9,TOI-2525 b,0,127,8,results/multi_system/_chunks_tierb/chunk_00/status_row0009_TOI-2525_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0009_TOI-2525_b.npz,
10,TOI-5110 b,0,135,0,results/multi_system/_chunks_tierb/chunk_00/status_row0010_TOI-5110_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0010_TOI-5110_b.npz,
11,TOI-4377 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0011_TOI-4377_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0011_TOI-4377_b.npz,
12,TOI-1117 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0012_TOI-1117_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0012_TOI-1117_b.npz,
13,WASP-132 c,0,131,4,results/multi_system/_chunks_tierb/chunk_00/status_row0013_WASP-132_c.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0013_WASP-132_c.npz,
14,TOI-260 b,0,126,9,results/multi_system/_chunks_tierb/chunk_00/status_row0014_TOI-260_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0014_TOI-260_b.npz,
15,HD 108236 e,0,135,0,results/multi_system/_chunks_tierb/chunk_00/status_row0015_HD_108236_e.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0015_HD_108236_e.npz,
16,HD 108236 b,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0016_HD_108236_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0016_HD_108236_b.npz,
