row_index,pl_name,n_success,n_failed,figure_path,npz_path,error
409,NGTS-32 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0409_NGTS-32_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0409_NGTS-32_b.npz,
410,TOI-1994 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0410_TOI-1994_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0410_TOI-1994_b.npz,
411,NGTS-5 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0411_NGTS-5_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0411_NGTS-5_b.npz,
412,TOI-1803 c,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0412_TOI-1803_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0412_TOI-1803_c.npz,
413,Kepler-278 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0413_Kepler-278_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0413_Kepler-278_b.npz,
414,CoRoT-11 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0414_CoRoT-11_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0414_CoRoT-11_b.npz,
415,HD 73583 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0415_HD_73583_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0415_HD_73583_b.npz,
416,K2-138 g,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0416_K2-138_g.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0416_K2-138_g.npz,
417,TOI-2154 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0417_TOI-2154_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0417_TOI-2154_b.npz,
418,K2-100 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0418_K2-100_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0418_K2-100_b.npz,
419,GJ 1214 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0419_GJ_1214_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0419_GJ_1214_b.npz,
420,HAT-P-45 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0420_HAT-P-45_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0420_HAT-P-45_b.npz,
421,Kepler-9 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0421_Kepler-9_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0421_Kepler-9_b.npz,
422,Kepler-103 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0422_Kepler-103_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0422_Kepler-103_b.npz,
423,Kepler-69 c,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0423_Kepler-69_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0423_Kepler-69_c.npz,
424,GJ 486 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0424_GJ_486_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0424_GJ_486_b.npz,
425,HD 73344 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0425_HD_73344_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0425_HD_73344_b.npz,
426,Kepler-1814 c,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/status_row0426_Kepler-1814_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_11/batch_row0426_Kepler-1814_c.npz,
