row_index,pl_name,n_success,n_failed,figure_path,npz_path,error
705,TOI-908 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0705_TOI-908_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0705_TOI-908_b.npz,
706,TIC 172900988 b,0,135,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0706_TIC_172900988_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0706_TIC_172900988_b.npz,
707,Kepler-30 c,126,9,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0707_Kepler-30_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0707_Kepler-30_c.npz,
708,TOI-2525 c,129,6,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0708_TOI-2525_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0708_TOI-2525_c.npz,
709,TOI-3362 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0709_TOI-3362_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0709_TOI-3362_b.npz,
710,TOI-2257 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0710_TOI-2257_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0710_TOI-2257_b.npz,
711,TOI-5678 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0711_TOI-5678_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0711_TOI-5678_b.npz,
712,TOI-4600 c,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0712_TOI-4600_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0712_TOI-4600_c.npz,
713,TOI-6628 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0713_TOI-6628_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0713_TOI-6628_b.npz,
714,TOI-1452 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0714_TOI-1452_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0714_TOI-1452_b.npz,
715,TOI-1836 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0715_TOI-1836_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0715_TOI-1836_b.npz,
716,TOI-5027 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0716_TOI-5027_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0716_TOI-5027_b.npz,
717,WASP-135 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0717_WASP-135_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0717_WASP-135_b.npz,
718,WASP-113 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0718_WASP-113_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0718_WASP-113_b.npz,
719,TOI-654.01,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0719_TOI-654.01.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0719_TOI-654.01.npz,
720,TOI-1759 b,131,4,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0720_TOI-1759_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0720_TOI-1759_b.npz,
721,WASP-70 A b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0721_WASP-70_A_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0721_WASP-70_A_b.npz,
722,TOI-4010 d,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0722_TOI-4010_d.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0722_TOI-4010_d.npz,
723,EPIC 201757695.02,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0723_EPIC_201757695.02.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0723_EPIC_201757695.02.npz,
724,NGTS-2 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0724_NGTS-2_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0724_NGTS-2_b.npz,
725,TOI-2969 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0725_TOI-2969_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0725_TOI-2969_b.npz,
726,EPIC 201170410.02,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0726_EPIC_201170410.02.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0726_EPIC_201170410.02.npz,
727,Kepler-167 c,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0727_Kepler-167_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0727_Kepler-167_c.npz,
728,Kepler-432 b,135,0,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0728_Kepler-432_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0728_Kepler-432_b.npz,
729,EPIC 248847494 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0729_EPIC_248847494_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0729_EPIC_248847494_b.npz,
730,Kepler-167 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0730_Kepler-167_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0730_Kepler-167_b.npz,
731,TIC 241249530 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0731_TIC_241249530_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0731_TIC_241249530_b.npz,
732,Kepler-16 b,129,6,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0732_Kepler-16_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0732_Kepler-16_b.npz,
733,EPIC 201595106 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0733_EPIC_201595106_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0733_EPIC_201595106_b.npz,
734,Kepler-34 b,0,135,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0734_Kepler-34_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0734_Kepler-34_b.npz,
735,OGLE-TR-182 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0735_OGLE-TR-182_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0735_OGLE-TR-182_b.npz,
736,HD 224018 d,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0736_HD_224018_d.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0736_HD_224018_d.npz,
737,CoRoT-36 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/status_row0737_CoRoT-36_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_19/batch_row0737_CoRoT-36_b.npz,
