row_index,pl_name,n_success,n_failed,figure_path,npz_path,error
594,HD 108236 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0594_HD_108236_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0594_HD_108236_b.npz,
595,HD 108236 c,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0595_HD_108236_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0595_HD_108236_c.npz,
596,TOI-1233.01,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0596_TOI-1233.01.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0596_TOI-1233.01.npz,
597,TOI-836 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0597_TOI-836_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0597_TOI-836_b.npz,
598,HD 108236 f,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0598_HD_108236_f.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0598_HD_108236_f.npz,
599,TOI-2096 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0599_TOI-2096_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0599_TOI-2096_b.npz,
600,TOI-4600 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0600_TOI-4600_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0600_TOI-4600_b.npz,
601,TOI-2449 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0601_TOI-2449_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0601_TOI-2449_b.npz,
602,TOI-2295 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0602_TOI-2295_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0602_TOI-2295_b.npz,
603,TOI-756 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0603_TOI-756_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0603_TOI-756_b.npz,
604,WASP-5 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0604_WASP-5_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0604_WASP-5_b.npz,
605,WASP-114 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0605_WASP-114_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0605_WASP-114_b.npz,
606,TOI-836.01,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0606_TOI-836.01.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0606_TOI-836.01.npz,
607,TOI-4336 A b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0607_TOI-4336_A_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0607_TOI-4336_A_b.npz,
608,TOI-4336 A c,131,4,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0608_TOI-4336_A_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0608_TOI-4336_A_c.npz,
609,TOI-4342 b,128,7,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0609_TOI-4342_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0609_TOI-4342_b.npz,
610,TOI-4342 c,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0610_TOI-4342_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0610_TOI-4342_c.npz,
611,L 168-9 b,131,4,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0611_L_168-9_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0611_L_168-9_b.npz,
612,TOI-564 b,131,4,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0612_TOI-564_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0612_TOI-564_b.npz,
613,WASP-141 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0613_WASP-141_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0613_WASP-141_b.npz,
614,TOI-1062 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0614_TOI-1062_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0614_TOI-1062_b.npz,
615,HD 219134 b,128,7,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0615_HD_219134_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0615_HD_219134_b.npz,
616,HD 219134 c,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0616_HD_219134_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0616_HD_219134_c.npz,
617,TOI-5076 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/status_row0617_TOI-5076_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_16/batch_row0617_TOI-5076_b.npz,
