pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_kmag,sy_kmagerr1,sy_kmagerr2,oblateness_input_tier,pl_ratdor_source,pl_ratror_source,keyparams_row_index,tier_a_legacy_row_index,injection_batch_578_completed
TOI-2498 b,3.73825200000,0.00000400000,-0.00000400000,0,0.0491000000,0.0030000000,-0.0030000000,0,0.54063792,0.02587211,-0.02408783,0,0.10892670,0.01290004,-0.01286858,0,0.860000,0.250000,-0.200000,0,0.089000,0.075000,-0.075000,0,87.12000,1.70000,-1.70000,0,2459204.41670000,0.00010000,-0.00010000,0,0.420000,0.130000,-0.130000,0,,,,,,,,,8.379427653511023,0,0,0,0.04000000,0.01000000,-0.01000000,0,,,,,89.9900,99.1400,-99.1400,0,,,,,,,,,,5905.00,12.00,-12.00,0,1.260000,0.040000,-0.040000,0,1.120000,0.020000,-0.020000,0,0.1670,0.0100,-0.0410,0,[Fe/H],4.297000,0.021000,-0.021000,0,06h21m39.89s,95.4162204,+11d15m05.93s,11.2516477,9.9330000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,678,-1,0
TOI-481 b,10.33111000000,0.00002000000,-0.00002000000,0,0.0970000000,0.0010000000,-0.0010000000,0,0.99000000,0.01000000,-0.01000000,0,1.53000000,0.03000000,-0.03000000,0,,,,,0.153000,0.006000,-0.007000,0,89.20000,0.30000,-0.30000,0,2458511.64180000,0.00020000,-0.00020000,0,0.150000,0.050000,-0.050000,0,,,,,,,,,12.56513198797778,0,0,0,0.06140000,0.00020000,-0.00020000,0,,,,,64.8000,1.8000,-1.8000,0,,,,,,,,,G,5735.00,72.00,-72.00,0,1.660000,0.020000,-0.020000,0,1.140000,0.020000,-0.010000,0,0.2600,0.0500,-0.0500,0,[Fe/H],4.060000,0.010000,-0.010000,0,07h22m03.04s,110.5126861,-57d23m05.99s,-57.3849980,8.4430000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,689,-1,0
TOI-712 b,9.53136100000,0.00001800000,-0.00001700000,0,0.0792800000,0.0009600000,-0.0009100000,0,0.18279985,0.00107057,-0.00713713,0,,,,,,,,,0.540000,0.260000,-0.200000,0,88.22000,1.10000,-0.53000,0,2458757.26886000,0.00068000,-0.00059000,0,0.410000,0.320000,-0.280000,0,0.07680000,0.01000000,-0.00420000,0,1.7350000,0.0460000,-0.0310000,0,25.29339658985314,0,0,0,0.02772000,0.00180000,-0.00076000,0,2458385.49000000,0.43000000,-0.35000000,0,68.0000,88.0000,-77.0000,0,,,,,,,,,K4.5 V,4622.00,61.00,-59.00,0,0.674000,0.017000,-0.016000,0,0.732000,0.027000,-0.025000,0,-0.0200,0.1200,-0.0430,0,[Fe/H],4.645000,0.021000,-0.022000,0,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,8.3130000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,690,-1,0
TOI-712 c,51.69906000000,0.00017000000,-0.00017000000,0,0.2447000000,0.0030000000,-0.0028000000,0,0.24096749,0.00820770,-0.00731556,0,,,,,,,,,0.089000,0.083000,-0.056000,0,89.78000,0.14000,-0.11000,0,2458946.39598000,0.00093000,-0.00082000,0,0.280000,0.160000,-0.190000,0,0.13460000,0.00550000,-0.00430000,0,4.8430000,0.0580000,-0.0620000,0,78.06879598306084,0,0,0,0.03669000,0.00074000,-0.00059000,0,2458425.00000000,11.00000000,-15.00000000,0,115.0000,96.0000,-95.0000,0,,,,,,,,,K4.5 V,4622.00,61.00,-59.00,0,0.674000,0.017000,-0.016000,0,0.732000,0.027000,-0.025000,0,-0.0200,0.1200,-0.0430,0,[Fe/H],4.645000,0.021000,-0.022000,0,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,8.3130000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,691,-1,0
TOI-712 d,84.83960000000,0.00043000000,-0.00040000000,0,0.3405000000,0.0041000000,-0.0039000000,0,0.22071588,0.00802928,-0.00731556,0,,,,,,,,,0.073000,0.064000,-0.049000,0,89.81700,0.11000,-0.06600,0,2458640.54570000,0.00190000,-0.00190000,0,0.340000,0.140000,-0.210000,0,0.11300000,0.00530000,-0.00490000,0,5.7020000,0.0980000,-0.0940000,0,108.6327136584888,0,0,0,0.03362000,0.00079000,-0.00074000,0,2458396.00000000,32.00000000,-22.00000000,0,30.0000,110.0000,-140.0000,0,,,,,,,,,K4.5 V,4622.00,61.00,-59.00,0,0.674000,0.017000,-0.016000,0,0.732000,0.027000,-0.025000,0,-0.0200,0.1200,-0.0430,0,[Fe/H],4.645000,0.021000,-0.022000,0,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,8.3130000,0.0230000,-0.0230000,B_derived_geometry,derived_orbsmax_st_rad,archive,692,-1,0
HD 152843 b,11.62071000000,0.00009600000,-0.00010600000,0,0.1049000000,0.0029000000,-0.0030000000,0,0.27210324,0.00981356,-0.00981356,0,0.03089718,0.00538026,-0.00506563,0,1.900000,0.410000,-0.360000,0,0.046000,0.058000,-0.033000,0,89.26000,0.51000,-0.58000,0,2458994.28530000,0.00280000,-0.00300000,0,0.200000,0.170000,-0.140000,0,,,,,5.5900000,0.1300000,-0.1400000,0,15.77403715373458,0,0,0,0.01957000,0.00062000,-0.00063000,0,,,,,,,,,,,,,,,,,,6310.00,100.00,-100.00,0,1.430000,0.020000,-0.020000,0,1.150000,0.040000,-0.040000,0,-0.1600,0.0500,-0.0500,0,[Fe/H],4.190000,0.030000,-0.030000,0,16h55m08.37s,253.7848853,+20d29m29.49s,20.4915240,7.6290000,0.0200000,-0.0200000,B_derived_geometry,derived_orbsmax_st_rad,archive,695,-1,0
TOI-199 b,104.85400000000,0.00100000000,-0.00200000000,0,0.4254000000,0.0020000000,-0.0020000000,0,0.81000000,0.00500000,-0.00500000,0,0.17000000,0.02000000,-0.02000000,0,,,,,0.090000,0.010000,-0.020000,0,90.00000,,,0,2458256.12860000,0.00060000,-0.00060000,0,0.450000,0.020000,-0.030000,0,,,,,,,,,111.5544866125012,0,0,0,0.1015094813423521,0,0,0,,,,,350.0000,2.0000,-4.0000,0,,,,,,,,,G9 V,5255.00,12.00,-10.00,0,0.820000,0.003000,-0.003000,0,0.936000,0.003000,-0.005000,0,0.2200,0.0300,-0.0300,0,[Fe/H],4.582000,0.003000,-0.006000,0,05h20m25.41s,80.1058735,-59d53m43.56s,-59.8954326,8.8140000,0.0210000,-0.0210000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,706,-1,0
TOI-286 b,4.51172440000,0.00000310000,-0.00000270000,0,0.0503000000,0.0010000000,-0.0010000000,0,0.12668413,0.00892142,-0.00892142,0,0.01425297,0.00245415,-0.00245415,0,8.630000,2.320000,-2.320000,0,0.000000,,,0,87.52000,0.59000,-0.59000,0,2460186.64911000,0.00076000,-0.00076000,0,0.600000,0.140000,-0.060000,0,,,,,2.0400000,0.2700000,-0.2700000,0,13.86681721824173,0,0,0,0.01669025847421708,0,0,0,,,,,90.0000,,,0,,,,,,,,,K3 V,5152.00,12.00,-12.00,0,0.780000,0.036000,-0.036000,0,0.832000,0.049000,-0.049000,0,-0.0500,0.0200,-0.0200,0,[Fe/H],4.590000,0.020000,-0.020000,0,06h03m56.23s,90.9842762,-60d39m58.81s,-60.6663348,7.8510000,0.0330000,-0.0330000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,707,-1,0
TOI-286 c,39.36182600000,0.00007000000,-0.00008100000,0,0.2130000000,0.0042000000,-0.0042000000,0,0.16772265,0.01070570,-0.01070570,0,0.01170443,0.00698490,-0.00698490,0,3.090000,1.930000,-1.930000,0,0.000000,,,0,89.69000,0.28000,-0.28000,0,2460155.02510000,0.00180000,-0.00200000,0,0.320000,0.290000,-0.170000,0,,,,,4.9700000,0.5500000,-0.5500000,0,58.72031943311109,0,0,0,0.02209696192361134,0,0,0,,,,,90.0000,,,0,,,,,,,,,K3 V,5152.00,12.00,-12.00,0,0.780000,0.036000,-0.036000,0,0.832000,0.049000,-0.049000,0,-0.0500,0.0200,-0.0200,0,[Fe/H],4.590000,0.020000,-0.020000,0,06h03m56.23s,90.9842762,-60d39m58.81s,-60.6663348,7.8510000,0.0330000,-0.0330000,B_derived_geometry,derived_orbsmax_st_rad,derived_rade_st_rad,708,-1,0
TOI-4504 b,2.42614000000,0.00014000000,-0.00013000000,0,0.0339200000,0.0006800000,-0.0006800000,0,0.24007535,0.01703991,-0.01703991,0,,,,,,,,,0.000000,,,0,87.40000,0.90000,-1.30000,0,2459038.45800000,0.02200000,-0.02100000,0,0.396000,0.134000,-0.197000,0,0.07180000,,,0,,,,,7.928142087331496,0,0,0,0.02680000,0.00190000,-0.00190000,0,,,,,90.0000,,,0,,,,,,,,,K1 V,5315.00,60.00,-60.00,0,0.920000,0.040000,-0.040000,0,0.890000,0.060000,-0.040000,0,0.1600,0.0500,-0.0500,0,[Fe/H],4.458000,0.021000,-0.015000,0,07h37m52.15s,114.4673065,-62d04m41.80s,-62.0782776,11.2360000,0.0210000,-0.0210000,B_derived_geometry,derived_orbsmax_st_rad,archive,709,-1,0
