pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,default_flag,pl_refname,sy_refname,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_instrument,disc_telescope,disc_refname,ra,rastr,dec,decstr,glon,glat,elon,elat,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbperstr,pl_orblpererr1,pl_orblper,pl_orblpererr2,pl_orblperlim,pl_orblperstr,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxstr,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbinclstr,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtperstr,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenstr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtstr,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepstr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolstr,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densstr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepstr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidstr,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurstr,sy_kmagstr,sy_umag,sy_umagerr1,sy_umagerr2,sy_umagstr,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_rmagstr,sy_imag,sy_imagerr1,sy_imagerr2,sy_imagstr,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_zmagstr,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w1magstr,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w2magstr,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w3magstr,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_w4magstr,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_gmagstr,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_gaiamagstr,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_tmagstr,pl_controv_flag,pl_tsystemref,st_metratio,st_spectype,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,sy_kepmagstr,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_rotpstr,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_projobliqstr,x,y,z,htm20,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampstr,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radjstr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radestr,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorstr,pl_ratdor,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,pl_trueobliqstr,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_icmagstr,rowupdate,pl_pubdate,st_refname,releasedate,dkin_flag,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorstr,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparstr,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_cmassjstr,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassestr,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_massjstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massestr,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassjstr,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassestr,pl_bmassprov,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinijstr,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msiniestr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffstr,st_met,st_meterr1,st_meterr2,st_metlim,st_metstr,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvstr,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_vsinstr,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumstr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggstr,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agestr,st_mass,st_masserr1,st_masserr2,st_masslim,st_massstr,st_dens,st_denserr1,st_denserr2,st_denslim,st_densstr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radstr,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmstr,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmrastr,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_pmdecstr,sy_plx,sy_plxerr1,sy_plxerr2,sy_plxstr,sy_dist,sy_disterr1,sy_disterr2,sy_diststr,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_bmagstr,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_vmagstr,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_jmagstr,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_hmagstr,sy_kmag,sy_kmagerr1,sy_kmagerr2
"TOI-4010 b","b","TOI-4010",,,"TIC 352682207","Gaia DR2 525352325110310400","Gaia DR3 525352325110310400",1,"<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2023-07",2023,"Transit","Space","Transiting Exoplanet Survey Satellite (TESS)","TESS CCD Array","0.1 m TESS Telescope","<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>",20.2148196,"01h20m51.56s",66.0722009,"+66d04m19.92s",125.91346,3.37092,52.28095,51.52542,1.34833500000,0.00000300000,-0.00000200000,0,"<div><span class="supersubNumber">1.348335</span><span class="superscript">+0.000003</span><span class="subscript">-0.000002</span></div>",155.0000,0.0000,-149.0000,0,"<div><span class="supersubNumber">0.00</span><span class="superscript">+155.00</span><span class="subscript">-149.00</span></div>",0.0229000000,0.0002000000,-0.0002000000,0,"0.0229&plusmn;0.0002",88.10000,1.20000,-1.10000,0,"<div><span class="supersubNumber">88.1</span><span class="superscript">+1.2</span><span class="subscript">-1.1</span></div>",,,,,,0.030000,0.030000,-0.020000,0,"<div><span class="supersubNumber">0.03</span><span class="superscript">+0.03</span><span class="subscript">-0.02</span></div>",1441.00,14.00,-13.00,0,"<div><span class="supersubNumber">1441</span><span class="superscript">+14</span><span class="subscript">-13</span></div>",,,,,,714.0000,28.0000,-26.0000,0,"<div><span class="supersubNumber">714</span><span class="superscript">+28</span><span class="subscript">-26</span></div>",2.200000,0.300000,-0.300000,0,"2.2&plusmn;0.3",,,,,,2459007.54900000,0.00100000,-0.00100000,0,"2459007.549&plusmn;0.001",1.7700000,0.0300000,-0.0300000,0,"1.77&plusmn;0.03","10.157&plusmn;0.021",,,,,,,,,,,,,,,,,10.0450000,0.0230000,-0.0230000,"10.045&plusmn;0.023",10.1370000,0.0210000,-0.0210000,"10.137&plusmn;0.021",9.9270000,0.0530000,-0.0530000,"9.927&plusmn;0.053",8.6630000,0.3800000,-0.3800000,"8.663&plusmn;0.380",,,,,12.1216000,0.0002070,-0.0002070,"12.121600&plusmn;0.000207",11.5163000,0.0061000,-0.0061000,"11.5163&plusmn;0.0061",0,"BJD","[Fe/H]","K V",,,,,37.70000,15.00000,-15.00000,0,"37.7&plusmn;15.0",,,,,,0.38060257104609369,0.14014626006534792,0.91405727867721676,-1102041226,6.90000,0.80000,-0.80000,0,"6.9&plusmn;0.8",0.26942682,0.00713713,-0.00713713,0,"0.269&plusmn;0.007",3.02000000,0.08000000,-0.08000000,0,"3.02&plusmn;0.08",0.03300000,0.00100000,-0.00100000,0,"0.033&plusmn;0.001",,,,,,,,,,,"2023-06-27","2023-07","<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>","2023-06-27",0,,,,,0.190000,0.120000,-0.130000,0,"<div><span class="supersubNumber">0.19</span><span class="superscript">+0.12</span><span class="subscript">-0.13</span></div>",,,,,,,,,,,0.03460987,0.00405879,-0.00399587,0,"<div><span class="supersubNumber">0.03461</span><span class="superscript">+0.00406</span><span class="subscript">-0.00400</span></div>",11.00000000,1.29000000,-1.27000000,0,"<div><span class="supersubNumber">11.00</span><span class="superscript">+1.29</span><span class="subscript">-1.27</span></div>",0.03460987,0.00405879,-0.00399587,0,"<div><span class="supersubNumber">0.03461</span><span class="superscript">+0.00406</span><span class="subscript">-0.00400</span></div>",11.00000000,1.29000000,-1.27000000,0,"<div><span class="supersubNumber">11.00</span><span class="superscript">+1.29</span><span class="subscript">-1.27</span></div>","Mass",,,,,,,,,,,4960.00,36.00,-36.00,0,"4960&plusmn;36",0.3700,0.0700,-0.0700,0,"0.37&plusmn;0.07",,,,,,1.3000,0.5000,-0.5000,0,"1.30&plusmn;0.50",,,,,,4.540000,0.020000,-0.020000,0,"4.54&plusmn;0.02",6.1000,3.1000,-3.1000,0,"6.1&plusmn;3.1",0.880000,0.030000,-0.030000,0,"0.88&plusmn;0.03",,,,,,0.830000,0.010000,-0.010000,0,"0.83&plusmn;0.01",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,4,0,0,0,0,0,0,0,0,0,43.6624070,0.0396487,-0.0396487,"43.6624070&plusmn;0.0396487",38.6159000,0.0380062,-0.0380062,"38.6159000&plusmn;0.0380062",-20.3769000,0.0450566,-0.0450566,"-20.3769000&plusmn;0.0450566",5.6049900,0.0311275,-0.0311275,"5.6049900&plusmn;0.0311275",177.50400000,0.99400000,-0.98200000,"<div><span class="supersubNumber">177.504</span><span class="superscript">+0.994</span><span class="subscript">-0.982</span></div>",13.3810000,0.0260000,-0.0260000,"13.381&plusmn;0.026",12.2910000,0.0690000,-0.0690000,"12.291&plusmn;0.069",10.6490000,0.0270000,-0.0270000,"10.649&plusmn;0.027",10.2500000,0.0310000,-0.0310000,"10.250&plusmn;0.031",10.1570000,0.0210000,-0.0210000
"TOI-2384 b","b","TOI-2384",,,"TIC 382602147","Gaia DR2 4699702272124241152","Gaia DR3 4699702272124241152",1,"<a refstr=BRYANT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.533.3893B/abstract target=ref>Bryant et al. 2024</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2024-10",2024,"Transit","Space","Transiting Exoplanet Survey Satellite (TESS)","TESS CCD Array","0.1 m TESS Telescope","<a refstr=BRYANT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.533.3893B/abstract target=ref>Bryant et al. 2024</a>",36.1561463,"02h24m37.48s",-65.0001957,"-65d00m00.70s",288.06468,-49.35142,338.88468,-68.54473,2.13570304000,0.00000038000,-0.00000038000,0,"2.13570304&plusmn;0.00000038",,,,,,0.0279300000,0.0002300000,-0.0002300000,0,"0.02793&plusmn;0.00023",88.37000,0.34000,-0.34000,0,"88.37&plusmn;0.34",,,,,,0.000000,,,0,"0",889.70,5.00,-5.00,0,"889.7&plusmn;5.0",,,,,,104.3000,2.4000,-2.4000,0,"104.3&plusmn;2.4",2.260000,0.150000,-0.150000,0,"2.26&plusmn;0.15",,,,,,2459591.99589000,0.00011700,-0.00011700,0,"2459591.995890&plusmn;0.000117",1.8910000,0.0120000,-0.0120000,0,"1.891&plusmn;0.012","11.119&plusmn;0.023",,,,,,,,,,,,,,,,,11.0160000,0.0220000,-0.0220000,"11.016&plusmn;0.022",11.0360000,0.0200000,-0.0200000,"11.036&plusmn;0.020",10.6040000,0.0670000,-0.0670000,"10.604&plusmn;0.067",9.0330000,,,"9.033",,,,,14.3985000,0.0011710,-0.0011710,"14.398500&plusmn;0.001171",13.3147000,0.0073872,-0.0073872,"13.3147000&plusmn;0.0073872",0,"BJD-TDB","[Fe/H]",,,,,,,,,,,,,,,,0.34122460735195137,0.24933781500842675,-0.90630923053024803,-103586227,419.00000,10.00000,-10.00000,0,"419&plusmn;10",1.02500000,0.02100000,-0.02100000,0,"1.025&plusmn;0.021",11.48920522,0.23538859,-0.23538859,0,"11.49&plusmn;0.24",0.17230000,0.00240000,-0.00240000,0,"0.1723&plusmn;0.0024",9.820000,,,,,,,,,,"2024-09-17","2024-10","<a refstr=BRYANT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.533.3893B/abstract target=ref>Bryant et al. 2024</a>","2024-09-17",0,0.120000,-0.120000,0,"9.82&plusmn;0.12",0.280000,0.046000,-0.060000,0,"<div><span class="supersubNumber">0.280</span><span class="superscript">+0.046</span><span class="subscript">-0.060</span></div>",,,,,,,,,,,1.96600000,0.05900000,-0.05900000,0,"1.966&plusmn;0.059",624.85064816,18.75187601,-18.75187601,0,"624.9&plusmn;18.8",1.96600000,0.05900000,-0.05900000,0,"1.966&plusmn;0.059",624.85064816,18.75187601,-18.75187601,0,"624.9&plusmn;18.8","Mass",,,,,,,,,,,3943.00,14.00,-14.00,0,"3943&plusmn;14",0.3320,0.0630,-0.0630,0,"0.332&plusmn;0.063",,,,,,,,,,,,,,,,4.660000,0.013000,-0.013000,0,"4.660&plusmn;0.013",9.4000,5.8000,-5.8000,0,"9.40&plusmn;5.80",0.635000,0.016000,-0.016000,0,"0.635&plusmn;0.016",3.910000,0.150000,-0.150000,0,"3.91&plusmn;0.15",0.611300,0.008000,-0.008000,0,"0.6113&plusmn;0.0080",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,1,0,0,0,0,0,0,0,0,0,53.3426709,0.0959746,-0.0959746,"53.3426709&plusmn;0.0959746",8.5837800,0.1133740,-0.1133740,"8.583780&plusmn;0.113374",-52.6475000,0.0954688,-0.0954688,"-52.6475000&plusmn;0.0954688",5.1936000,0.0554077,-0.0554077,"5.1936000&plusmn;0.0554077",191.51000000,2.06900000,-2.02600000,"<div><span class="supersubNumber">191.510</span><span class="superscript">+2.069</span><span class="subscript">-2.026</span></div>",16.6310000,0.1360000,-0.1360000,"16.631&plusmn;0.136",15.1030000,0.1370000,-0.1370000,"15.103&plusmn;0.137",11.9970000,0.0260000,-0.0260000,"11.997&plusmn;0.026",11.3080000,0.0240000,-0.0240000,"11.308&plusmn;0.024",11.1190000,0.0230000,-0.0230000
"HAT-P-28 b","b","HAT-P-28",,,"TIC 53728859","Gaia DR2 363702817083391232","Gaia DR3 363702817083391232",1,"<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2011-06",2011,"Transit","Ground","HATNet","2K CCD Sensor","Canon 200mm f/1.8L","<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>",13.0009159,"00h52m00.22s",34.7284020,"+34d43m42.25s",123.06375,-28.14320,26.32290,26.68801,3.25721500000,0.00000700000,-0.00000700000,0,"3.257215&plusmn;0.000007",90.0000,233.0000,-90.0000,0,"233&plusmn;90",0.0434000000,0.0007000000,-0.0007000000,0,"0.0434&plusmn;0.0007",88.00000,0.90000,-0.90000,0,"88.0&plusmn;0.9",,,,,,0.051000,0.033000,-0.033000,0,"0.051&plusmn;0.033",1384.00,52.00,-52.00,0,"1384&plusmn;52",,,,,,,,,,,0.440000,0.090000,-0.090000,0,"0.44&plusmn;0.09",1.47190000,,,0,"1.4719",2455417.59832000,0.00053000,-0.00053000,0,"2455417.59832&plusmn;0.00053",3.2184000,0.0480000,-0.0480000,0,"3.2184&plusmn;0.0480","11.104&plusmn;0.018",15.1459000,0.0044367,-0.0044367,"15.1459000&plusmn;0.0044367",13.1281000,0.0030833,-0.0030833,"13.1281000&plusmn;0.0030833",12.8267000,0.0027988,-0.0027988,"12.8267000&plusmn;0.0027988",12.8394000,0.0038674,-0.0038674,"12.8394000&plusmn;0.0038674",11.0580000,0.0230000,-0.0230000,"11.058&plusmn;0.023",11.0780000,0.0210000,-0.0210000,"11.078&plusmn;0.021",10.8420000,0.0890000,-0.0890000,"10.842&plusmn;0.089",9.3900000,,,"9.39",14.2734000,0.0037215,-0.0037215,"14.2734000&plusmn;0.0037215",12.8718000,0.0002330,-0.0002330,"12.871800&plusmn;0.000233",12.3396000,0.0082000,-0.0082000,"12.3396&plusmn;0.0082",0,"BJD-UTC","[Fe/H]","G3",,,,,,,,,,,,,,,0.80079452466795698,0.18489146679943461,0.56968699718931137,442859679,84.70000,4.20000,-4.20000,0,"84.7&plusmn;4.2",1.21200000,0.11300000,-0.08200000,0,"<div><span class="supersubNumber">1.212</span> <span class="superscript">+0.113</span><span class="subscript">-0.082</span></div>",13.58500000,1.26700000,-0.91900000,0,"<div><span class="supersubNumber">13.585</span> <span class="superscript">+1.267</span><span class="subscript">-0.919</span></div>",0.11300000,0.00240000,-0.00240000,0,"0.1130&plusmn;0.0024",8.430000,,,,,,,,,,"2014-05-14","2011-06","<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>","2014-05-14",0,0.570000,-0.570000,0,"8.43&plusmn;0.57",0.299000,0.114000,-0.123000,0,"<div><span class="supersubNumber">0.299</span> <span class="superscript">+0.114</span><span class="subscript">-0.123</span></div>",,,,,,,,,,,0.62600000,0.03700000,-0.03700000,0,"0.626&plusmn;0.037",198.95300000,11.75900000,-11.75900000,0,"198.953&plusmn;11.759",0.62600000,0.03700000,-0.03700000,0,"0.626&plusmn;0.037",198.95300000,11.75900000,-11.75900000,0,"198.953&plusmn;11.759","Mass",,,,,,,,,,,5680.00,90.00,-90.00,0,"5680&plusmn;90",0.1200,0.0800,-0.0800,0,"0.12&plusmn;0.08",43.88400,0.06800,-0.06800,0,"43.884&plusmn;0.068",0.2000,0.5000,-0.2000,0,"<div><span class="supersubNumber">0.2</span> <span class="superscript">+0.5</span><span class="subscript">-0.2</span> </div>",0.05300,0.08000,-0.06600,0,"<div><span class="supersubNumber">0.053</span> <span class="superscript">+0.080</span><span class="subscript">-0.066</span> </div>",4.360000,0.060000,-0.060000,0,"4.36&plusmn;0.06",6.1000,2.6000,-1.9000,0,"<div><span class="supersubNumber">6.1</span> <span class="superscript">+2.6</span><span class="subscript">-1.9</span> </div>",1.025000,0.047000,-0.047000,0,"1.025&plusmn;0.047",,,,,,1.103000,0.091000,-0.069000,0,"<div><span class="supersubNumber">1.103</span> <span class="superscript">+0.091</span><span class="subscript">-0.069</span> </div>",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,1,0,0,0,2,0,0,0,0,0,25.6783419,0.0667987,-0.0667987,"25.6783419&plusmn;0.0667987",25.5187000,0.0669744,-0.0669744,"25.5187000&plusmn;0.0669744",2.8588800,0.0508869,-0.0508869,"2.8588800&plusmn;0.0508869",2.4632700,0.0336917,-0.0336917,"2.4632700&plusmn;0.0336917",401.31900000,5.54200000,-5.39500000,"<div><span class="supersubNumber">401.319</span><span class="superscript">+5.542</span><span class="subscript">-5.395</span></div>",13.8250000,0.0840000,-0.0840000,"13.825&plusmn;0.084",13.0980000,0.1140000,-0.1140000,"13.098&plusmn;0.114",11.5610000,0.0200000,-0.0200000,"11.561&plusmn;0.020",11.2060000,0.0230000,-0.0230000,"11.206&plusmn;0.023",11.1040000,0.0180000,-0.0180000
"NGTS-10 b","b","NGTS-10",,,"TIC 37348844","Gaia DR2 2911987212510959232","Gaia DR3 2911987212510959232",1,"<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2020-03",2020,"Transit","Ground","Next-Generation Transit Survey (NGTS)","NGTS CCD array","20 cm NGTS telescope","<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>",91.8722801,"06h07m29.35s",-25.5948963,"-25d35m41.63s",232.00450,-20.48518,92.57123,-49.01744,0.76689440000,0.00000030000,-0.00000030000,0,"0.7668944&plusmn;0.0000003",,,,,,0.0143000000,0.0010000000,-0.0010000000,0,"0.0143&plusmn;0.0010",,,,,,,,,,,0.000000,,,0,"0",1332.00,49.00,-54.00,0,"<div><span class="supersubNumber">1332</span><span class="superscript">+49</span><span class="subscript">-54</span></div>",,,,,,,,,,,1.430000,0.354000,-0.404000,0,"<div><span class="supersubNumber">1.430</span><span class="superscript">+0.354</span><span class="subscript">-0.404</span></div>",,,,,,2457518.84377000,0.00017000,-0.00017000,0,"2457518.84377&plusmn;0.00017",1.0910000,0.0190000,-0.0190000,0,"1.091&plusmn;0.019","11.728&plusmn;0.025",,,,,,,,,,,,,,,,,11.6190000,0.0220000,-0.0220000,"11.619&plusmn;0.022",11.6440000,0.0210000,-0.0210000,"11.644&plusmn;0.021",11.7810000,0.1860000,-0.1860000,"11.781&plusmn;0.186",9.0900000,,,"9.09",,,,,14.2604000,0.0033770,-0.0033770,"14.260400&plusmn;0.003377",13.6050000,0.0074000,-0.0074000,"13.6050&plusmn;0.0074",0,"HJD","[M/H]","K5 V",,,,,17.29000,0.00800,-0.00800,0,"17.290&plusmn;0.008",,,,,,-0.02946560229927904,0.90138953820605217,-0.43200541512094587,1423137279,594.90000,7.70000,-6.30000,0,"<div><span class="supersubNumber">594.9</span><span class="superscript">+7.7</span><span class="subscript">-6.3</span></div>",1.20500000,0.11700000,-0.08300000,0,"<div><span class="supersubNumber">1.205</span><span class="superscript">+0.117</span><span class="subscript">-0.083</span></div>",13.50684500,1.31145300,-0.93034700,0,"<div><span class="supersubNumber">13.51</span><span class="superscript">+1.31</span><span class="subscript">-0.93</span></div>",0.17650000,0.01100000,-0.00700000,0,"<div><span class="supersubNumber">0.1765</span><span class="superscript">+0.0110</span><span class="subscript">-0.0070</span></div>",4.447000,,,,,,,,,,"2020-03-13","2020-03","<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>","2020-03-19",0,0.123000,-0.141000,0,"<div><span class="supersubNumber">4.447</span><span class="superscript">+0.123</span><span class="subscript">-0.141</span></div>",0.852300,0.031580,-0.019700,0,"<div><span class="supersubNumber">0.85230</span><span class="superscript">+0.03158</span><span class="subscript">-0.01970</span></div>",,,,,,,,,,,2.16200000,0.09200000,-0.10700000,0,"<div><span class="supersubNumber">2.162</span><span class="superscript">+0.092</span><span class="subscript">-0.107</span></div>",687.14846000,29.24036000,-34.00781000,0,"<div><span class="supersubNumber">687.1</span><span class="superscript">+29.2</span><span class="subscript">-34.0</span></div>",2.16200000,0.09200000,-0.10700000,0,"<div><span class="supersubNumber">2.162</span><span class="superscript">+0.092</span><span class="subscript">-0.107</span></div>",687.14846000,29.24036000,-34.00781000,0,"<div><span class="supersubNumber">687.1</span><span class="superscript">+29.2</span><span class="subscript">-34.0</span></div>","Mass",,,,,,,,,,,4600.00,150.00,-150.00,0,"4600&plusmn;150",-0.0200,0.1200,-0.1200,0,"-0.020&plusmn;0.120",39.09310,0.00540,-0.00570,0,"<div><span class="supersubNumber">39.0931</span><span class="superscript">+0.0054</span><span class="subscript">-0.0057</span></div>",4.0000,0.6000,-0.6000,0,"4.0&plusmn;0.6",,,,,,4.595000,0.019000,-0.019000,0,"4.595&plusmn;0.019",10.4000,2.5000,-2.5000,0,"10.4&plusmn;2.5",0.696000,0.040000,-0.040000,0,"0.696&plusmn;0.040",,,,,,0.697000,0.036000,-0.036000,0,"0.697&plusmn;0.036",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,1,0,0,0,0,0,0,0,0,0,9.8472736,2.1304006,-2.1304006,"9.84727360&plusmn;2.13040060",9.7087000,2.1304000,-2.1304000,"9.70870&plusmn;2.13040",1.6461900,2.1304200,-2.1304200,"1.64619&plusmn;2.13042",,,,,,,,,15.2740000,0.0440000,-0.0440000,"15.274&plusmn;0.044",14.5060000,0.1140000,-0.1140000,"14.506&plusmn;0.114",12.3920000,0.0260000,-0.0260000,"12.392&plusmn;0.026",11.8780000,0.0280000,-0.0280000,"11.878&plusmn;0.028",11.7280000,0.0250000,-0.0250000
