row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
116,TOI-2989 b,89,38,8,results/multi_system/_chunks_tierb/chunk_07/status_row0116_TOI-2989_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0116_TOI-2989_b.npz,
117,TOI-1064 c,0,133,2,results/multi_system/_chunks_tierb/chunk_07/status_row0117_TOI-1064_c.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0117_TOI-1064_c.npz,
118,XO-5 b,16,116,3,results/multi_system/_chunks_tierb/chunk_07/status_row0118_XO-5_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0118_XO-5_b.npz,
119,TOI-757 b,0,133,2,results/multi_system/_chunks_tierb/chunk_07/status_row0119_TOI-757_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0119_TOI-757_b.npz,
120,TOI-431 d,0,130,5,results/multi_system/_chunks_tierb/chunk_07/status_row0120_TOI-431_d.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0120_TOI-431_d.npz,
121,TOI-1064 b,0,129,6,results/multi_system/_chunks_tierb/chunk_07/status_row0121_TOI-1064_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0121_TOI-1064_b.npz,
122,TOI-431 b,0,132,3,results/multi_system/_chunks_tierb/chunk_07/status_row0122_TOI-431_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0122_TOI-431_b.npz,
123,TOI-2537 b,0,133,2,results/multi_system/_chunks_tierb/chunk_07/status_row0123_TOI-2537_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0123_TOI-2537_b.npz,
124,TOI-4551 b,0,133,2,results/multi_system/_chunks_tierb/chunk_07/status_row0124_TOI-4551_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0124_TOI-4551_b.npz,
125,WASP-31 b,74,59,2,results/multi_system/_chunks_tierb/chunk_07/status_row0125_WASP-31_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0125_WASP-31_b.npz,
126,Kepler-30 d,0,133,2,results/multi_system/_chunks_tierb/chunk_07/status_row0126_Kepler-30_d.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0126_Kepler-30_d.npz,
127,TOI-908 b,0,132,3,results/multi_system/_chunks_tierb/chunk_07/status_row0127_TOI-908_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0127_TOI-908_b.npz,
128,TIC 172900988 b,0,0,135,results/multi_system/_chunks_tierb/chunk_07/status_row0128_TIC_172900988_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0128_TIC_172900988_b.npz,
129,Kepler-30 c,0,132,3,results/multi_system/_chunks_tierb/chunk_07/status_row0129_Kepler-30_c.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0129_Kepler-30_c.npz,
130,TOI-2525 c,0,129,6,results/multi_system/_chunks_tierb/chunk_07/status_row0130_TOI-2525_c.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0130_TOI-2525_c.npz,
131,TOI-3362 b,0,129,6,results/multi_system/_chunks_tierb/chunk_07/status_row0131_TOI-3362_b.png,results/multi_system/_chunks_tierb/chunk_07/batch_row0131_TOI-3362_b.npz,
