row_index,pl_name,n_success,n_failed,figure_path,npz_path,error
0,TOI-2384 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0000_TOI-2384_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0000_TOI-2384_b.npz,
1,HAT-P-28 b,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0001_HAT-P-28_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0001_HAT-P-28_b.npz,
2,TOI-4773 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0002_TOI-4773_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0002_TOI-4773_b.npz,
3,Kepler-33 c,132,3,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0003_Kepler-33_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0003_Kepler-33_c.npz,
4,CoRoT-23 b,134,1,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0004_CoRoT-23_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0004_CoRoT-23_b.npz,
5,Kepler-33 f,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0005_Kepler-33_f.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0005_Kepler-33_f.npz,
6,CoRoT-28 b,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0006_CoRoT-28_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0006_CoRoT-28_b.npz,
7,HAT-P-38 b,127,8,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0007_HAT-P-38_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0007_HAT-P-38_b.npz,
8,Kepler-1859 c,133,2,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0008_Kepler-1859_c.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0008_Kepler-1859_c.npz,
9,HD 202772 A b,127,8,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0009_HD_202772_A_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0009_HD_202772_A_b.npz,
10,HAT-P-32 b,130,5,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/status_row0010_HAT-P-32_b.png,results/multi_system_combined742_run1/_chunks_tierb/chunk_00/batch_row0010_HAT-P-32_b.npz,
